strata,income,books,sportDays
F_area1,5266.0,9.0,4.0
F_area1,33339.0,25.0,27.0
F_area1,22242.0,16.0,26.0
F_area1,36202.0,20.0,108.0
F_area1,49804.0,9.0,49.0
F_area1,49201.0,17.0,40.0
F_area1,20061.0,6.0,106.0
F_area1,20071.0,22.0,90.0
F_area1,12186.0,19.0,94.0
F_area1,20220.0,19.0,26.0
F_area1,41878.0,6.0,37.0
F_area1,19140.0,20.0,63.0
F_area1,24131.0,12.0,99.0
F_area1,5067.0,9.0,68.0
F_area1,12806.0,24.0,87.0
F_area1,27661.0,7.0,1.0
F_area1,35202.0,12.0,71.0
F_area1,25365.0,10.0,37.0
F_area1,26761.0,10.0,115.0
F_area1,38046.0,15.0,15.0
F_area1,21975.0,5.0,109.0
F_area1,9216.0,12.0,69.0
F_area1,37003.0,8.0,41.0
F_area1,12782.0,12.0,35.0
F_area1,9728.0,1.0,79.0
F_area1,41661.0,4.0,87.0
F_area1,40645.0,14.0,65.0
F_area1,5438.0,9.0,93.0
F_area1,44037.0,4.0,45.0
F_area1,33308.0,0.0,46.0
F_area1,11764.0,17.0,82.0
F_area1,46297.0,5.0,23.0
F_area1,21119.0,5.0,40.0
F_area1,14395.0,15.0,98.0
F_area1,12004.0,23.0,18.0
F_area1,49661.0,21.0,93.0
F_area1,26065.0,12.0,115.0
F_area1,43239.0,14.0,27.0
F_area1,15754.0,13.0,86.0
F_area1,31927.0,24.0,24.0
F_area1,14115.0,16.0,25.0
F_area1,22607.0,10.0,75.0
F_area1,39367.0,16.0,81.0
F_area1,18718.0,11.0,69.0
F_area1,43288.0,22.0,61.0
F_area1,28835.0,10.0,105.0
F_area1,15575.0,12.0,73.0
F_area1,24828.0,6.0,49.0
F_area1,18832.0,9.0,37.0
F_area1,48326.0,11.0,27.0
F_area1,42488.0,9.0,98.0
F_area1,6939.0,12.0,115.0
F_area1,21742.0,10.0,16.0
F_area1,41085.0,19.0,32.0
F_area1,22241.0,4.0,135.0
F_area1,24179.0,14.0,61.0
F_area1,40178.0,8.0,12.0
F_area1,21410.0,21.0,61.0
F_area1,31726.0,21.0,50.0
F_area1,45720.0,18.0,61.0
F_area1,35189.0,14.0,111.0
F_area1,44062.0,7.0,50.0
F_area1,44826.0,10.0,45.0
F_area1,40584.0,10.0,89.0
F_area1,14569.0,7.0,133.0
F_area1,48270.0,15.0,112.0
F_area1,33795.0,14.0,28.0
F_area1,10395.0,6.0,33.0
F_area1,5902.0,16.0,67.0
F_area1,30310.0,21.0,114.0
F_area1,33073.0,11.0,64.0
F_area1,28085.0,2.0,62.0
F_area1,22472.0,8.0,36.0
F_area1,21520.0,2.0,131.0
F_area1,11603.0,9.0,89.0
F_area1,45409.0,24.0,159.0
F_area1,14214.0,10.0,27.0
F_area1,35838.0,5.0,92.0
F_area1,17508.0,8.0,138.0
F_area1,48243.0,8.0,2.0
F_area1,7576.0,9.0,47.0
F_area1,39925.0,19.0,2.0
F_area1,19710.0,6.0,43.0
F_area1,33468.0,23.0,65.0
F_area1,38311.0,17.0,75.0
F_area1,31305.0,21.0,82.0
F_area1,23897.0,10.0,49.0
F_area1,37430.0,11.0,60.0
F_area1,41841.0,13.0,30.0
F_area1,25138.0,10.0,26.0
F_area1,45713.0,19.0,130.0
F_area1,42331.0,1.0,15.0
F_area1,14489.0,24.0,73.0
F_area1,27879.0,23.0,43.0
F_area1,34376.0,23.0,80.0
F_area1,46144.0,21.0,23.0
F_area1,49964.0,11.0,88.0
F_area1,24809.0,7.0,72.0
F_area1,28802.0,1.0,30.0
F_area1,32399.0,8.0,66.0
F_area1,43028.0,7.0,121.0
F_area1,47368.0,24.0,3.0
F_area1,37964.0,24.0,50.0
F_area1,10008.0,14.0,99.0
F_area1,38686.0,7.0,3.0
F_area1,24710.0,23.0,45.0
F_area1,8063.0,22.0,134.0
F_area1,30727.0,7.0,46.0
F_area1,5668.0,22.0,90.0
F_area1,41154.0,13.0,58.0
F_area1,37563.0,14.0,25.0
F_area1,10234.0,1.0,72.0
F_area1,29681.0,18.0,140.0
F_area1,9388.0,24.0,71.0
F_area1,42494.0,9.0,41.0
F_area1,31538.0,21.0,31.0
F_area1,41210.0,20.0,116.0
F_area1,47463.0,13.0,132.0
F_area1,39405.0,7.0,105.0
F_area1,44154.0,13.0,24.0
F_area1,16452.0,9.0,123.0
F_area1,35376.0,17.0,27.0
F_area1,8096.0,10.0,14.0
F_area1,12718.0,15.0,33.0
F_area1,9989.0,17.0,55.0
F_area1,8539.0,19.0,94.0
F_area1,33244.0,1.0,52.0
F_area1,41934.0,2.0,17.0
F_area1,32119.0,2.0,120.0
F_area1,10250.0,23.0,10.0
F_area1,31654.0,23.0,7.0
F_area1,43382.0,25.0,65.0
F_area1,12461.0,16.0,161.0
F_area1,24664.0,24.0,113.0
F_area1,36564.0,0.0,94.0
F_area1,12204.0,3.0,73.0
F_area1,31390.0,10.0,59.0
F_area1,31102.0,22.0,59.0
F_area1,36883.0,1.0,134.0
F_area1,28113.0,23.0,5.0
F_area1,6188.0,24.0,61.0
F_area1,14141.0,7.0,24.0
F_area1,23312.0,1.0,73.0
F_area1,13746.0,5.0,31.0
F_area1,15165.0,9.0,93.0
F_area1,31895.0,20.0,33.0
F_area1,18297.0,19.0,113.0
F_area1,5074.0,0.0,130.0
M_area2,46298.0,1.0,37.0
M_area2,43742.0,13.0,43.0
M_area2,35416.0,23.0,76.0
M_area2,49851.0,17.0,24.0
M_area2,11371.0,20.0,104.0
M_area2,9350.0,13.0,90.0
M_area2,14661.0,6.0,19.0
M_area2,43361.0,10.0,9.0
M_area2,7831.0,4.0,0.0
M_area2,23283.0,21.0,92.0
M_area2,32171.0,24.0,28.0
M_area2,39921.0,8.0,42.0
M_area2,29898.0,23.0,32.0
M_area2,9630.0,11.0,2.0
M_area2,37886.0,17.0,95.0
M_area2,34496.0,24.0,66.0
M_area2,13133.0,13.0,64.0
M_area2,49318.0,14.0,71.0
M_area2,28461.0,12.0,18.0
M_area2,38501.0,24.0,51.0
M_area2,17909.0,16.0,63.0
M_area2,33089.0,5.0,27.0
M_area2,7631.0,1.0,122.0
M_area2,10090.0,14.0,38.0
M_area2,43535.0,3.0,54.0
M_area2,28891.0,14.0,72.0
M_area2,9964.0,7.0,21.0
M_area2,9383.0,15.0,42.0
M_area2,16344.0,21.0,110.0
M_area2,33576.0,2.0,78.0
M_area2,25090.0,14.0,39.0
M_area2,19119.0,6.0,105.0
M_area2,46875.0,7.0,25.0
M_area2,31377.0,13.0,83.0
M_area2,32329.0,12.0,73.0
M_area2,45080.0,7.0,70.0
M_area2,10732.0,18.0,114.0
M_area2,15846.0,19.0,116.0
M_area2,17978.0,25.0,79.0
M_area2,19128.0,16.0,20.0
M_area2,46649.0,9.0,21.0
M_area2,23809.0,18.0,20.0
M_area2,6814.0,4.0,73.0
M_area2,22986.0,10.0,21.0
M_area2,25588.0,9.0,31.0
M_area2,29703.0,24.0,134.0
M_area2,32216.0,5.0,35.0
M_area2,10309.0,25.0,158.0
M_area2,21845.0,9.0,33.0
M_area2,17178.0,10.0,93.0
M_area2,48054.0,12.0,70.0
M_area2,34089.0,12.0,21.0
M_area2,10127.0,14.0,68.0
M_area2,17416.0,15.0,126.0
M_area2,47503.0,9.0,108.0
M_area2,27285.0,17.0,152.0
M_area2,22069.0,7.0,116.0
M_area2,43721.0,1.0,22.0
M_area2,41287.0,7.0,66.0
M_area2,15548.0,22.0,139.0
M_area2,28572.0,7.0,88.0
M_area2,33068.0,22.0,21.0
M_area2,28513.0,20.0,124.0
M_area2,21048.0,1.0,33.0
M_area2,19227.0,8.0,90.0
M_area2,32793.0,2.0,69.0
M_area2,15856.0,1.0,12.0
M_area2,9040.0,3.0,44.0
M_area2,7973.0,13.0,5.0
M_area2,49160.0,11.0,29.0
M_area2,21123.0,23.0,20.0
M_area2,15445.0,15.0,14.0
M_area2,21501.0,7.0,96.0
M_area2,12479.0,10.0,25.0
M_area2,39052.0,1.0,77.0
M_area2,13657.0,6.0,16.0
M_area2,8525.0,5.0,18.0
M_area2,18392.0,18.0,97.0
M_area2,5170.0,6.0,71.0
M_area2,25754.0,11.0,36.0
M_area2,30853.0,23.0,89.0
M_area2,22683.0,13.0,94.0
M_area2,30911.0,3.0,48.0
M_area2,37364.0,10.0,8.0
M_area2,8508.0,15.0,32.0
M_area2,17269.0,3.0,58.0
M_area2,22500.0,4.0,63.0
M_area2,5946.0,4.0,58.0
M_area2,7328.0,5.0,25.0
M_area2,15525.0,18.0,54.0
M_area2,37126.0,7.0,32.0
M_area2,12048.0,7.0,53.0
M_area2,19290.0,5.0,70.0
M_area2,16751.0,14.0,54.0
M_area2,35918.0,6.0,114.0
M_area2,18056.0,9.0,35.0
M_area2,34239.0,12.0,66.0
M_area2,48912.0,10.0,33.0
M_area2,38237.0,5.0,156.0
M_area2,29611.0,24.0,65.0
M_area2,5368.0,5.0,1.0
M_area2,47601.0,7.0,16.0
M_area2,12600.0,15.0,73.0
M_area2,38134.0,4.0,116.0
M_area2,46194.0,6.0,57.0
M_area2,47764.0,7.0,5.0
M_area2,40020.0,8.0,28.0
M_area2,16655.0,12.0,35.0
M_area2,13772.0,22.0,68.0
M_area2,27632.0,17.0,64.0
M_area2,37087.0,21.0,143.0
M_area2,38214.0,23.0,77.0
M_area2,17130.0,4.0,130.0
M_area2,42894.0,23.0,71.0
M_area2,17336.0,20.0,11.0
M_area2,38524.0,23.0,89.0
M_area2,26830.0,16.0,22.0
M_area2,37803.0,24.0,83.0
M_area2,25034.0,2.0,134.0
M_area2,8378.0,2.0,28.0
M_area2,32639.0,16.0,59.0
M_area2,7298.0,9.0,71.0
M_area2,37690.0,11.0,100.0
M_area2,11049.0,22.0,66.0
M_area2,15062.0,18.0,48.0
M_area2,24294.0,5.0,7.0
M_area2,9260.0,0.0,89.0
M_area2,26254.0,21.0,88.0
M_area2,29435.0,10.0,92.0
M_area2,44057.0,21.0,39.0
M_area2,39740.0,15.0,61.0
M_area2,33054.0,4.0,15.0
M_area2,44109.0,19.0,69.0
M_area2,48072.0,9.0,11.0
M_area2,19105.0,25.0,95.0
M_area2,27383.0,7.0,82.0
M_area2,13650.0,1.0,7.0
M_area2,29097.0,14.0,49.0
M_area2,11641.0,13.0,40.0
M_area2,42194.0,15.0,76.0
M_area2,47123.0,22.0,21.0
M_area2,33917.0,12.0,37.0
M_area2,25845.0,18.0,91.0
M_area2,33427.0,24.0,37.0
M_area2,49924.0,1.0,48.0
M_area2,12956.0,11.0,150.0
M_area2,48558.0,5.0,7.0
M_area2,31926.0,18.0,31.0
M_area2,36278.0,12.0,75.0
M_area2,43669.0,3.0,11.0
M_area2,31541.0,14.0,11.0
M_area2,19884.0,13.0,84.0
M_area2,37043.0,25.0,50.0
M_area2,25271.0,23.0,66.0
M_area2,41420.0,17.0,65.0
M_area2,29427.0,17.0,60.0
M_area2,36579.0,19.0,118.0
M_area2,38758.0,11.0,41.0
M_area2,13911.0,13.0,6.0
M_area2,16626.0,14.0,123.0
M_area2,5314.0,15.0,5.0
M_area2,36574.0,10.0,18.0
M_area2,39337.0,18.0,107.0
M_area2,30352.0,15.0,38.0
M_area2,31147.0,11.0,111.0
M_area2,46278.0,25.0,64.0
M_area2,26121.0,18.0,91.0
M_area2,29580.0,14.0,5.0
M_area2,30466.0,1.0,113.0
M_area2,8812.0,17.0,48.0
M_area2,18868.0,2.0,125.0
M_area2,45692.0,24.0,17.0
M_area2,10544.0,17.0,90.0
M_area2,41535.0,7.0,37.0
M_area2,28462.0,3.0,22.0
M_area2,35641.0,25.0,10.0
M_area2,47431.0,1.0,8.0
M_area2,48071.0,11.0,110.0
M_area2,40798.0,8.0,97.0
M_area2,29253.0,16.0,85.0
F_area2,17468.0,8.0,131.0
F_area2,44096.0,11.0,55.0
F_area2,48871.0,9.0,130.0
F_area2,49857.0,16.0,5.0
F_area2,6490.0,23.0,120.0
F_area2,45773.0,14.0,55.0
F_area2,26193.0,24.0,85.0
F_area2,33232.0,24.0,15.0
F_area2,31665.0,8.0,125.0
F_area2,18823.0,7.0,19.0
F_area2,11954.0,20.0,66.0
F_area2,35793.0,9.0,52.0
F_area2,8119.0,2.0,51.0
F_area2,21250.0,21.0,141.0
F_area2,40754.0,7.0,112.0
F_area2,32887.0,6.0,55.0
F_area2,32253.0,18.0,115.0
F_area2,20091.0,15.0,64.0
F_area2,22118.0,18.0,70.0
F_area2,38465.0,7.0,116.0
F_area2,35888.0,7.0,39.0
F_area2,19577.0,21.0,42.0
F_area2,39453.0,6.0,100.0
F_area2,43878.0,4.0,43.0
F_area2,23841.0,10.0,5.0
F_area2,39411.0,12.0,154.0
F_area2,27720.0,19.0,75.0
F_area2,29492.0,21.0,76.0
F_area2,25388.0,14.0,98.0
F_area2,35504.0,12.0,1.0
F_area2,29527.0,20.0,94.0
F_area2,27866.0,23.0,77.0
F_area2,41463.0,9.0,34.0
F_area2,11952.0,6.0,58.0
F_area2,10747.0,8.0,114.0
F_area2,41978.0,3.0,165.0
F_area2,26501.0,13.0,105.0
F_area2,26498.0,22.0,107.0
F_area2,31055.0,18.0,32.0
F_area2,43441.0,8.0,121.0
F_area2,5234.0,10.0,67.0
F_area2,37058.0,13.0,55.0
F_area2,10748.0,3.0,107.0
F_area2,16477.0,15.0,27.0
F_area2,33518.0,16.0,92.0
F_area2,45531.0,8.0,84.0
F_area2,14178.0,21.0,22.0
F_area2,20415.0,6.0,84.0
F_area2,42721.0,3.0,50.0
F_area2,18479.0,5.0,62.0
F_area2,25528.0,13.0,30.0
F_area2,17179.0,9.0,36.0
F_area2,21863.0,6.0,49.0
F_area2,43058.0,3.0,42.0
F_area2,19529.0,19.0,118.0
F_area2,16589.0,6.0,20.0
F_area2,19311.0,3.0,10.0
F_area2,34766.0,13.0,86.0
F_area2,7387.0,2.0,64.0
F_area2,43967.0,15.0,2.0
F_area2,15153.0,10.0,115.0
F_area2,16785.0,0.0,34.0
F_area2,34268.0,16.0,31.0
F_area2,34727.0,9.0,44.0
F_area2,40612.0,22.0,41.0
F_area2,26591.0,19.0,89.0
F_area2,23839.0,16.0,22.0
F_area2,32796.0,6.0,140.0
F_area2,29836.0,16.0,121.0
F_area2,8271.0,14.0,103.0
F_area2,22838.0,2.0,47.0
F_area2,45458.0,21.0,144.0
F_area2,45452.0,11.0,1.0
F_area2,27485.0,6.0,137.0
F_area2,25091.0,8.0,55.0
F_area2,46810.0,8.0,41.0
F_area2,41526.0,11.0,48.0
F_area2,41842.0,23.0,70.0
F_area2,32313.0,23.0,57.0
F_area2,33284.0,1.0,3.0
F_area2,29374.0,7.0,41.0
F_area2,42585.0,3.0,155.0
F_area2,10190.0,10.0,53.0
F_area2,28945.0,11.0,92.0
F_area2,7268.0,14.0,65.0
F_area2,15456.0,16.0,8.0
F_area2,17961.0,3.0,100.0
F_area2,30508.0,24.0,84.0
F_area2,6672.0,8.0,54.0
F_area2,39780.0,6.0,33.0
F_area2,14966.0,4.0,28.0
F_area2,13350.0,5.0,84.0
F_area2,18308.0,4.0,102.0
F_area2,43018.0,13.0,60.0
F_area2,25376.0,17.0,104.0
F_area2,11694.0,3.0,9.0
F_area2,19629.0,16.0,23.0
F_area2,22321.0,23.0,2.0
F_area2,25068.0,21.0,37.0
F_area2,34991.0,12.0,26.0
F_area2,45073.0,14.0,4.0
F_area2,19480.0,20.0,31.0
F_area2,22847.0,21.0,151.0
F_area2,17635.0,6.0,64.0
F_area2,10564.0,16.0,33.0
F_area2,16173.0,6.0,125.0
F_area2,10491.0,2.0,35.0
F_area2,9628.0,7.0,45.0
F_area2,49345.0,11.0,56.0
F_area2,49141.0,10.0,102.0
F_area2,37123.0,9.0,107.0
F_area2,12284.0,7.0,112.0
F_area2,8550.0,7.0,18.0
F_area2,25374.0,14.0,139.0
F_area2,20896.0,13.0,38.0
F_area2,33582.0,18.0,105.0
F_area2,29520.0,1.0,34.0
F_area2,18386.0,13.0,19.0
F_area2,36782.0,21.0,37.0
F_area2,15056.0,23.0,50.0
M_area3,32583.0,24.0,74.0
M_area3,46876.0,6.0,37.0
M_area3,10504.0,8.0,49.0
M_area3,23565.0,19.0,58.0
M_area3,15834.0,4.0,10.0
M_area3,44754.0,10.0,37.0
M_area3,8596.0,7.0,1.0
M_area3,7829.0,20.0,1.0
M_area3,43821.0,4.0,1.0
M_area3,12645.0,1.0,88.0
M_area3,27439.0,23.0,97.0
M_area3,37462.0,1.0,83.0
M_area3,35754.0,22.0,20.0
M_area3,28560.0,12.0,115.0
M_area3,18966.0,5.0,67.0
M_area3,22721.0,11.0,49.0
M_area3,23926.0,7.0,50.0
M_area3,17144.0,25.0,93.0
M_area3,31625.0,19.0,45.0
M_area3,44298.0,13.0,3.0
M_area3,37127.0,16.0,51.0
M_area3,13144.0,12.0,39.0
M_area3,49758.0,1.0,15.0
M_area3,24012.0,21.0,73.0
M_area3,17342.0,8.0,20.0
M_area3,32213.0,11.0,78.0
M_area3,21294.0,3.0,103.0
M_area3,24730.0,2.0,50.0
M_area3,30625.0,11.0,75.0
M_area3,28981.0,0.0,64.0
M_area3,38872.0,23.0,92.0
M_area3,24417.0,10.0,31.0
M_area3,7602.0,11.0,10.0
M_area3,26095.0,3.0,24.0
M_area3,19722.0,20.0,59.0
M_area3,25809.0,5.0,112.0
M_area3,25521.0,11.0,14.0
M_area3,31111.0,13.0,69.0
M_area3,11005.0,8.0,94.0
M_area3,7888.0,10.0,28.0
M_area3,29369.0,0.0,55.0
M_area3,10639.0,21.0,121.0
M_area3,35734.0,18.0,72.0
M_area3,48217.0,21.0,62.0
M_area3,16975.0,5.0,106.0
M_area3,35473.0,1.0,23.0
M_area3,42258.0,20.0,114.0
M_area3,5331.0,23.0,24.0
M_area3,24534.0,8.0,0.0
M_area3,24505.0,22.0,69.0
M_area3,39020.0,3.0,10.0
M_area3,48244.0,18.0,127.0
M_area3,21078.0,3.0,101.0
M_area3,49908.0,18.0,94.0
M_area3,11775.0,17.0,30.0
M_area3,27288.0,21.0,98.0
M_area3,30258.0,22.0,23.0
M_area3,44913.0,7.0,48.0
M_area3,14862.0,18.0,75.0
M_area3,30615.0,4.0,20.0
M_area3,7746.0,24.0,173.0
M_area3,15324.0,15.0,9.0
M_area3,7436.0,19.0,82.0
M_area3,12154.0,0.0,29.0
M_area3,26598.0,7.0,83.0
M_area3,49774.0,13.0,30.0
M_area3,35508.0,7.0,12.0
M_area3,36517.0,4.0,91.0
M_area3,37407.0,8.0,79.0
M_area3,23464.0,22.0,90.0
M_area3,21016.0,8.0,18.0
M_area3,37254.0,17.0,7.0
M_area3,21775.0,2.0,8.0
M_area3,7820.0,12.0,21.0
M_area3,12511.0,10.0,11.0
M_area3,24092.0,24.0,50.0
M_area3,44981.0,14.0,60.0
M_area3,7182.0,23.0,37.0
M_area3,31962.0,17.0,59.0
M_area3,14581.0,22.0,14.0
M_area3,44226.0,25.0,36.0
M_area3,11975.0,13.0,62.0
M_area3,31887.0,16.0,77.0
M_area3,40475.0,4.0,5.0
M_area3,44938.0,12.0,92.0
M_area3,44118.0,16.0,35.0
M_area3,26991.0,5.0,64.0
M_area3,31601.0,19.0,18.0
M_area3,11620.0,12.0,16.0
M_area3,45092.0,16.0,5.0
M_area3,25555.0,3.0,65.0
M_area3,42515.0,13.0,16.0
M_area3,47558.0,15.0,81.0
M_area3,46771.0,15.0,29.0
M_area3,13413.0,14.0,8.0
M_area3,28550.0,5.0,47.0
M_area3,38319.0,24.0,58.0
M_area3,16732.0,13.0,10.0
M_area3,45605.0,12.0,79.0
M_area3,41620.0,4.0,62.0
M_area3,30544.0,3.0,158.0
M_area3,24836.0,7.0,83.0
M_area3,47103.0,2.0,9.0
M_area3,17039.0,17.0,40.0
M_area3,42825.0,10.0,49.0
M_area3,38193.0,19.0,76.0
M_area3,13471.0,20.0,51.0
M_area3,39247.0,12.0,62.0
M_area3,45732.0,21.0,56.0
M_area3,44352.0,12.0,39.0
M_area3,35046.0,3.0,44.0
M_area3,41161.0,3.0,1.0
M_area3,17881.0,16.0,83.0
M_area3,45675.0,9.0,24.0
M_area3,18669.0,17.0,18.0
M_area3,7430.0,23.0,79.0
M_area3,28863.0,7.0,97.0
M_area3,49385.0,12.0,64.0
M_area3,25990.0,23.0,12.0
M_area3,21904.0,17.0,32.0
M_area3,12850.0,4.0,90.0
M_area3,35974.0,16.0,53.0
M_area3,6560.0,20.0,115.0
M_area3,8166.0,10.0,55.0
M_area3,46397.0,4.0,21.0
M_area3,32656.0,3.0,69.0
M_area3,23393.0,16.0,43.0
M_area3,20763.0,7.0,10.0
M_area3,43607.0,24.0,68.0
M_area3,40560.0,13.0,51.0
M_area3,49782.0,7.0,62.0
M_area3,13348.0,7.0,158.0
M_area3,26579.0,22.0,37.0
M_area3,31357.0,7.0,66.0
M_area3,45052.0,1.0,27.0
M_area3,35896.0,23.0,48.0
M_area3,12673.0,5.0,22.0
M_area3,13938.0,14.0,79.0
M_area3,45941.0,4.0,91.0
M_area3,21915.0,10.0,68.0
M_area3,31137.0,16.0,67.0
M_area3,25500.0,9.0,74.0
M_area3,44689.0,23.0,37.0
M_area3,46758.0,19.0,31.0
M_area3,42525.0,4.0,37.0
M_area3,6601.0,12.0,14.0
M_area3,18509.0,19.0,95.0
M_area3,42825.0,0.0,100.0
M_area3,35380.0,21.0,86.0
M_area3,25445.0,23.0,68.0
M_area3,28804.0,14.0,145.0
M_area3,22486.0,2.0,95.0
M_area3,27469.0,1.0,40.0
M_area3,5964.0,20.0,99.0
M_area3,39551.0,16.0,90.0
M_area3,42346.0,5.0,22.0
M_area3,35073.0,21.0,103.0
M_area3,49539.0,0.0,23.0
M_area3,49113.0,18.0,14.0
M_area3,28366.0,0.0,87.0
M_area3,34578.0,9.0,71.0
M_area3,30642.0,19.0,31.0
M_area3,40177.0,17.0,43.0
M_area3,21084.0,10.0,48.0
M_area3,24162.0,10.0,65.0
M_area3,35614.0,24.0,14.0
M_area3,32619.0,9.0,70.0
M_area3,26550.0,21.0,31.0
M_area3,24218.0,12.0,56.0
M_area3,43412.0,8.0,42.0
M_area3,6217.0,14.0,14.0
M_area3,28797.0,5.0,122.0
M_area3,29666.0,6.0,107.0
M_area3,5549.0,17.0,68.0
M_area3,33494.0,5.0,8.0
M_area3,20661.0,6.0,83.0
M_area3,24940.0,17.0,46.0
M_area3,20355.0,13.0,74.0
M_area3,31380.0,18.0,59.0
M_area3,27316.0,7.0,32.0
M_area3,39252.0,21.0,1.0
M_area3,26482.0,14.0,49.0
M_area3,10137.0,8.0,121.0
M_area3,20963.0,18.0,74.0
M_area3,34985.0,7.0,7.0
M_area3,36945.0,9.0,11.0
M_area3,43741.0,16.0,76.0
M_area3,10285.0,3.0,9.0
M_area3,14246.0,8.0,10.0
M_area3,20123.0,15.0,25.0
M_area3,7061.0,17.0,77.0
M_area3,35427.0,16.0,59.0
M_area3,40759.0,21.0,95.0
M_area3,24205.0,11.0,7.0
